编号,视频标题,视频播放量,视频点赞量,视频转发量,视频时长,idx
1582107937
1,豆瓣评分8.8，真实事件改编，狗是地球上唯一一种爱你胜过它自己的生物《多哥》,1582107937
2,正   道   的   义,1582107937
3,生活中漂亮的小姐姐,1582107937
4,吃了多少德芙啊,1582107937
5,百度大脑开放日·人脸硬件新品线上发布会,1582107937
6,【林允儿】【少女时代】林允儿经典名场面之遭遇人生滑铁卢    大俊：我不要面子的啊～,1582107937
7,伪恋 OAD：第1话 丢失／巫女,1582107937
8,厨师长教你：“小鸡炖蘑菇”的家常做法，汤鲜肉美味，先收藏起来,1582107937
9,神秘的朝鲜与马来西亚，竟有这样的约定！大马到底从朝鲜得到什么好处？当年朝鲜居然提供马来亚共产党训练援助？,1582107937
2.2万,1,288,11:29,1582107946
11,你知道B站还有一个名人堂吗,2.2万,1,288,11:29,1582107946
12,富二代A：心疼不，傻der？二代B：心疼就输了！,2.2万,1,288,11:29,1582107946
13,【吃饭系列】87版《红楼梦》：林黛玉吃贾府晚餐,2.2万,1,288,11:29,1582107946
14,【沙雕游戏广告第5集】,2.2万,1,288,11:29,1582107946
15,国服元芳良心干货教学学了都能上分！,2.2万,1,288,11:29,1582107946
16,HeiLim 塔罗占卜 | 2020年可以脱单吗？对方的讯息 未来感情上的指引♥ pick a card.,2.2万,1,288,11:29,1582107946
17,公主链接,2.2万,1,288,11:29,1582107946
18,达芬奇吃哪些硬件配置，5K-1W的渲染主机应该怎么配,2.2万,1,288,11:29,1582107946
19,【朱一旦】读书等身，致我们热爱的书籍！,2.2万,1,288,11:29,1582107946
1582107955
21,钟南山：新冠病毒基因已突变，非常适应在人体内生存,1582107955
1582107955
23,【众星还原热梗“塞班”名场面】沈腾模仿全是笑点，罗志祥神相似,1582107955
24,全面解读2020最新爆款恐怖片，这部开年神作，到底神在哪儿？,1582107955
25,Hi Flyme 说说你可能错过的体验,1582107955
26,突破百度网盘限速软件，Pandownload开发者被抓，程序员如何避免“面向监狱编程”？,1582107955
27,【Fennel's Kitchen】无黄油，无泡打粉也能做出香到没朋友的发酵磅蛋糕！,1582107955
28,「第一视角」一起学习如何组装一台PC,1582107955
29,深度！特朗普三年多来做的怎么样？美国是否“重新伟大”？,1582107955
10.6万,1,496,3:25,1582107964
31,《那女孩对我说》原唱巅峰时“出家”！没想到15年后歌曲又火了,10.6万,1,496,3:25,1582107964
32,第七天玩，这游戏好难,10.6万,1,496,3:25,1582107964
33,盘点那些藏在诗经中令人惊艳的（女孩）名字|中国独有的起名方式,10.6万,1,496,3:25,1582107964
10.6万,1,496,3:25,1582107964
35,新买保时捷反复熄火！车主失去信任想换新车，4S店：再付19万,10.6万,1,496,3:25,1582107964
36,拆解手机振动马达 你知道是如何产生振动的吗,10.6万,1,496,3:25,1582107964
37,【AllenGoose】美国电影《僵尸世界大战》剧情解说,10.6万,1,496,3:25,1582107964
38,【嚼】俄罗斯提拉米苏,10.6万,1,496,3:25,1582107964
39,迪迦奥特曼TV内所有怪兽排名,10.6万,1,496,3:25,1582107964
6697,1,5,6:08,1582107973
41,笔记本强上16核cpu+满血RTX2070，性能表现无法形容，未来人类这款笔记本太无敌,6697,1,5,6:08,1582107973
6697,1,5,6:08,1582107973
43,【瑜洲】擅长巴西柔术的好处～亲近你我,6697,1,5,6:08,1582107973
44,【生活大爆炸】佩妮这个“神奇女侠”谁能顶得住啊,6697,1,5,6:08,1582107973
45,GTA5 黑人抬棺,6697,1,5,6:08,1582107973
46,小米小店的倒闭，谁会拿谁当狗屁,6697,1,5,6:08,1582107973
47,减不了肥？你喝水的姿势不对,6697,1,5,6:08,1582107973
48,初来乍到，第一天直播O(∩_∩)O,6697,1,5,6:08,1582107973
49,阿姨~压~一~压   毫无违和感,6697,1,5,6:08,1582107973
9806万,1,315.6万,1582107982
51,挑战拼多多！3500X 1660S自己配的极限？,9806万,1,315.6万,1582107982
52,【中文字幕】世界第一脱衣舞娘的豪宅是否足够性感,9806万,1,315.6万,1582107982
53,江苏大学云端解读返校“研食住行”,9806万,1,315.6万,1582107982
9806万,1,315.6万,1582107982
55,Charlotte：第1话 将自己想象成他人,9806万,1,315.6万,1582107982
56,12星座谁是强攻，谁是弱受？,9806万,1,315.6万,1582107982
57,拿走不送,9806万,1,315.6万,1582107982
58,大角星人：要学会接受多维的自己！感官并非完全可信,9806万,1,315.6万,1582107982
59,民警乔装医护人员，成功抓获潜逃21年嫌疑人,9806万,1,315.6万,1582107982
2081.3万,1,84.5万,1582107991
61,“N号房事件”受害者中有女团和演员的女艺人！,2081.3万,1,84.5万,1582107991
62,【奥特网课】泰罗：我 学 我 自 己,2081.3万,1,84.5万,1582107991
63,定力最强杀手，遇到美女毫不动心，胡吹乱侃游戏改编电影《杀手47》,2081.3万,1,84.5万,1582107991
64,老电影片段：张作霖、冯玉祥两大军阀见面，互相暗暗较劲！,2081.3万,1,84.5万,1582107991
65,夏天的风我永远记得,2081.3万,1,84.5万,1582107991
66,魔法少女☆伊莉雅 2WEI HERZ!：第1话 简直像是在照镜子 好讨厌,2081.3万,1,84.5万,1582107991
67,运动休息日好好享受，放松也等于变强，在家运动第62天,2081.3万,1,84.5万,1582107991
68,欧 文 看 了 会 沉 默,2081.3万,1,84.5万,1582107991
69,在线刷王，刷的停不下，哈哈哈,2081.3万,1,84.5万,1582107991
865,1,102,6:28,1582108000
71,【菌子】肉肉的女孩能动摇你的心吗♥shake it！,865,1,102,6:28,1582108000
72,2000元的RGB！生产力与游戏性兼得的贫民之选,865,1,102,6:28,1582108000
73,全国人民为逝去的英雄们默哀，停止所有的娱乐活动，全国降半旗，我们一定要铭记这一天,865,1,102,6:28,1582108000
74,"【女性混剪】我们的生活不是你的色情片""ᵐʸ ˡⁱᶠᵉ ⁱˢ ⁿᵒᵗ ʸᵒᵘʳ ᵖᵒʳⁿ""",865,1,102,6:28,1582108000
75,聊会天，画商稿呢,865,1,102,6:28,1582108000
76,影视剧中超级搞笑剧情，笑的人肚子疼，不笑组队打我！,865,1,102,6:28,1582108000
77,邢佳栋采访/怎么会有人越老越可爱,865,1,102,6:28,1582108000
78,【吃播】每一口都是钱的味道的冰山熔岩巧克力  土豆粉,865,1,102,6:28,1582108000
79,【王嘉尔】EMA上喝个香槟用10秒就能火遍国外社交网站！who's the hot asian guy？？？,865,1,102,6:28,1582108000
298,1,9,3:41,1582108009
81,刚从泥坑回来！,298,1,9,3:41,1582108009
82,三寸钉投射技法,298,1,9,3:41,1582108009
83,俄罗斯芭蕾体操小美女Danatar的短裤裸足腿部塑形写真商拍,298,1,9,3:41,1582108009
298,1,9,3:41,1582108009
85,大快人心，山东理工大学虐猫大学生被退学,298,1,9,3:41,1582108009
86,恐怖慎入！！！,298,1,9,3:41,1582108009
87,北京酒桌新宠永丰靠什么弯道超车红星牛栏山？他是清香纯粮酒吗？,298,1,9,3:41,1582108009
88,《金国钟》唯一MV接吻,298,1,9,3:41,1582108009
89,【性价比装机】2100元淘宝整机？哦吼不是都是说淘宝都是JS嘛为什么他这么便宜还全新3A大作主流游戏都可以玩诶,298,1,9,3:41,1582108009
2.5万,1,343,2:11,1582108018
91,创意diy|花2000人民币组装的全透明隐形自行车，骑上它是一种什么样的体验？,2.5万,1,343,2:11,1582108018
92,DC《神奇女侠2》登帝国杂志，与男友湖边安静跳舞,2.5万,1,343,2:11,1582108018
93,兰博基尼钥匙放这了.能不能拿到我可不管.,2.5万,1,343,2:11,1582108018
94,令和战力衡量标准劳模——千骑（老千），多谢千骑哥！,2.5万,1,343,2:11,1582108018
95,十件超美却穿不出去的衣服试穿！好看就完了！还有显瘦运动衣和男生国潮短袖～,2.5万,1,343,2:11,1582108018
96,战友手捧靶标你敢开枪吗,2.5万,1,343,2:11,1582108018
97,itx主机sgpc k55,2.5万,1,343,2:11,1582108018
98,ADCADCADC,2.5万,1,343,2:11,1582108018
99,【国家安全教育】参与多项国家重点涉密项目的夫妻：2002年叛逃移民国外，2017年落网,2.5万,1,343,2:11,1582108018
